2.306767,0,0,0
2.353436,0,0,0
2.478804,0,0,0
2.64016,0,0,0
2.738385,0,0,0
2.992898,0,0,0
3.128406,0,0,0
3.31996,0,0,0
3.494779,0,0,0
3.679465,0,0,0
3.721369,0,0,0
3.955862,0,0,0
4.724031,0,0,0
5.094008,0,0,0
5.29864,0,0,0
5.404706,0,0,0
5.510632,0,0,0
9.370983,0,0,0,move left
1.977655,0,0,0,move right
2.416694,0,0,0,move left
3.087471,0,0,0,move left
3.416979,0,0,0,grasp
3.873653,0,0,0,move up
4.186842,0,0,0,grasp
4.795121,0,0,0,move right
5.02344,0,0,0,grasp
5.34282,0,0,0,move up
5.512117,0,0,0,grasp
5.890143,0,0,0,move left
6.69942,0,0,0,move right
7.276284,0,0,0,grasp
7.595643,0,0,0,move left
7.778543,0,0,0,grasp
8.330043,0,0,0,move left
8.501367,0,0,0,grasp
8.785858,0,0,0,move left
9.309518,0,0,0,move right
10.01725,0,0,0,move left
10.27044,0,0,0,grasp
10.47385,0,0,0,move left
10.89229,0,0,0,move right
11.24239,0,0,0,move left
11.60062,0,0,0,move right
12.12631,0,0,0,grasp
12.26104,0,0,0,move left
12.58783,0,0,0,move right
12.93887,0,0,0,move left
13.23634,0,0,0,grasp
13.39091,0,0,0,move right
13.489,0,0,0,move left
13.60848,0,0,0,grasp
13.98177,0,0,0,move right
14.76037,0,0,0,move left
15.18849,0,0,0,move left
15.41496,0,0,0,grasp
15.61315,0,0,0,move left
16.11052,0,0,0,move right
16.52844,0,0,0,move left
17.0455,0,0,0,move left
17.28511,0,0,0,move right
17.51213,0,0,0,move left
17.80938,0,0,0,grasp
17.8281,0,0,0,move left
17.93503,0,0,0,move left
1.928935,0,0,0,move right
2.385454,0,0,0,move left
3.137885,0,0,0,move left
3.540076,0,0,0,grasp
4.05592,0,0,0,move right
4.30259,0,0,0,move right
4.409112,0,0,0,move right
4.62454,0,0,0,move right
4.876073,0,0,0,move up
5.09666,0,0,0,grasp
5.509751,0,0,0,move right
6.286704,0,0,0,move right
6.519407,0,0,0,move up
9.368235,0,0,0,move left
10.33416,0,0,0,move right
10.65557,0,0,0,move up
10.91802,0,0,0,move left
11.33706,0,0,0,move up
11.63446,0,0,0,grasp
12.04831,0,0,0,move left
13.01597,0,0,0,move right
15.1615,0,0,0,move left
15.53089,0,0,0,move left
16.00532,0,0,0,grasp
16.31093,0,0,0,move left
17.13827,0,0,0,move right
17.9893,0,0,0,move right
19.19913,0,0,0,grasp
19.4946,0,0,0,move left
20.19503,0,0,0,move right
21.2389,0,0,0,grasp
21.51735,0,0,0,move left
22.07844,0,0,0,move right
22.74233,0,0,0,move left
23.19362,0,0,0,move left
23.46071,0,0,0,grasp
23.63348,0,0,0,move left
23.96757,0,0,0,move right
24.31954,0,0,0,move left
24.45991,0,0,0,grasp
24.78739,0,0,0,move right
25.30651,0,0,0,move left
25.57845,0,0,0,move right
25.97239,0,0,0,move left
25.97844,0,0,0,grasp
26.38489,0,0,0,move right
27.02065,0,0,0,grasp
27.26857,0,0,0,move left
27.6762,0,0,0,move right
28.49901,0,0,0,grasp
29.06272,0,0,0,move right
29.58784,0,0,0,move left
30.4561,0,0,0,move down
30.88378,0,0,0,grasp
31.07673,0,0,0,move right
31.7127,0,0,0,move left
32.21074,0,0,0,move left
32.63827,0,0,0,move left
33.04866,0,0,0,move left
33.69445,0,0,0,move left
33.95475,0,0,0,move up
34.27436,0,0,0,grasp
34.55697,0,0,0,move right
35.52519,0,0,0,move right
35.74657,0,0,0,move up
37.43688,0,0,0,move left
37.78123,0,0,0,move left
38.73191,0,0,0,move left
39.46999,0,0,0,move right
39.76175,0,0,0,move right
40.16103,0,0,0,move right
40.39037,0,0,0,move up
40.61777,0,0,0,grasp
40.90677,0,0,0,move right
41.81249,0,0,0,move up
42.60123,0,0,0,move down
43.15847,0,0,0,move down
43.44009,0,0,0,grasp
43.62088,0,0,0,move up
44.33997,0,0,0,move down
46.45358,0,0,0,move left
47.05914,0,0,0,move left
47.44023,0,0,0,move up
47.69919,0,0,0,move right
47.95427,0,0,0,move right
48.24806,0,0,0,grasp
48.44049,0,0,0,move right
48.93998,0,0,0,move right
49.32792,0,0,0,move right
49.86634,0,0,0,move left
50.29214,0,0,0,move right
50.61182,0,0,0,move left
51.65075,0,0,0,grasp
51.80988,0,0,0,move right
52.22668,0,0,0,move left
52.97511,0,0,0,move right
83.87936,0,0,0,move left
84.45714,0,0,0,move left
84.67535,0,0,0,move up
84.95995,0,0,0,grasp
85.22469,0,0,0,move right
85.498,0,0,0,move left
85.84863,0,0,0,grasp
86.12005,0,0,0,move right
86.61487,0,0,0,move up
86.81377,0,0,0,grasp
86.98431,0,0,0,move right
87.54907,0,0,0,move left
87.84976,0,0,0,move down
88.07712,0,0,0,grasp
88.34048,0,0,0,move right
89.05821,0,0,0,move right
89.45971,0,0,0,move right
89.68253,0,0,0,move right
90.18474,0,0,0,move left
90.38329,0,0,0,move up
90.62281,0,0,0,grasp
90.95998,0,0,0,move up
93.79452,0,0,0,move down
94.03829,0,0,0,move left
94.67029,0,0,0,move left
95.0468,0,0,0,move up
95.3317,0,0,0,grasp
95.61348,0,0,0,move right
96.57108,0,0,0,move left
98.47162,0,0,0,move left
98.86513,0,0,0,move left
99.42709,0,0,0,move left
99.76088,0,0,0,move up
99.94962,0,0,0,grasp
100.1922,0,0,0,move right
100.9978,0,0,0,move up
103.332,0,0,0,move down
103.8173,0,0,0,move left
104.4122,0,0,0,move up
104.8228,0,0,0,move up
105.1021,0,0,0,move left
105.3291,0,0,0,move up
105.5616,0,0,0,grasp
105.7514,0,0,0,move left
106.1378,0,0,0,move right
106.7622,0,0,0,grasp
106.962,0,0,0,move left
107.2989,0,0,0,move right
107.9192,0,0,0,move left
108.219,0,0,0,grasp
108.4082,0,0,0,move left
108.8214,0,0,0,move right
109.5398,0,0,0,grasp
109.7696,0,0,0,move right
110.135,0,0,0,grasp
110.3729,0,0,0,move right
110.8569,0,0,0,move left
111.8974,0,0,0,move left
112.4396,0,0,0,move left
112.7176,0,0,0,grasp
112.9223,0,0,0,move right
113.7544,0,0,0,move up
117.8854,0,0,0,move left
118.2755,0,0,0,move right
118.5325,0,0,0,move right
118.809,0,0,0,move up
119.091,0,0,0,grasp
119.1122,0,0,0,move right
119.2235,0,0,0,move right
119.6452,0,0,0,move left
126.8906,0,0,0,move left
127.5672,0,0,0,move left
127.9584,0,0,0,move up
128.1768,0,0,0,grasp
128.4004,0,0,0,move right
128.6935,0,0,0,move left
129.1839,0,0,0,move right
129.5685,0,0,0,move right
129.807,0,0,0,move up
130.0464,0,0,0,grasp
130.3604,0,0,0,move right
131.1682,0,0,0,move up
131.4025,0,0,0,grasp
133.897,0,0,0,move left
134.7899,0,0,0,move up
134.9766,0,0,0,grasp
135.21,0,0,0,move right
136.2274,0,0,0,move up
138.5966,0,0,0,move left
139.1323,0,0,0,move left
139.5143,0,0,0,move right
139.8211,0,0,0,move right
140.2863,0,0,0,move right
140.5325,0,0,0,move up
140.8282,0,0,0,grasp
141.0907,0,0,0,move right
141.8738,0,0,0,move up
142.1724,0,0,0,move left
148.2679,0,0,0,move left
149.004,0,0,0,move left
149.5153,0,0,0,move left
149.8653,0,0,0,move up
150.2368,0,0,0,grasp
150.533,0,0,0,move right
151.3219,0,0,0,move right
151.5685,0,0,0,move up
154.561,0,0,0,move left
155.331,0,0,0,move left
155.6972,0,0,0,move up
155.8843,0,0,0,grasp
156.1438,0,0,0,move right
156.9475,0,0,0,move right
157.2244,0,0,0,move up
159.9628,0,0,0,move left
160.6169,0,0,0,move left
161.0083,0,0,0,move right
161.7262,0,0,0,move up
162.0122,0,0,0,grasp
162.4252,0,0,0,move right
163.1198,0,0,0,move right
163.4797,0,0,0,move left
163.8393,0,0,0,move up
252.4732,0,0,0,move left
253.1646,0,0,0,move left
253.4574,0,0,0,move right
253.8165,0,0,0,move up
253.9707,0,0,0,grasp
254.265,0,0,0,move right
254.8152,0,0,0,move up
2.892907,0,0,0,move left
3.573301,0,0,0,move left
3.931332,0,0,0,move up
4.101678,0,0,0,move right
4.545855,0,0,0,move left
5.118874,0,0,0,grasp
5.308671,0,0,0,move right
5.981247,0,0,0,move up
8.750403,0,0,0,move left
9.495984,0,0,0,move right
9.795306,0,0,0,move up
9.963086,0,0,0,grasp
10.22302,0,0,0,move right
11.15514,0,0,0,move up
13.89631,0,0,0,move left
14.66762,0,0,0,move right
15.04241,0,0,0,move right
15.20409,0,0,0,move up
15.32582,0,0,0,grasp
15.52129,0,0,0,move right
16.15117,0,0,0,move up
16.48529,0,0,0,move left
16.84881,0,0,0,move down
17.51325,0,0,0,move down
17.87033,0,0,0,move down
18.15053,0,0,0,grasp
18.25503,0,0,0,move up
20.52735,0,0,0,move left
21.11144,0,0,0,move left
21.71296,0,0,0,move right
22.16821,0,0,0,move up
22.32101,0,0,0,move right
22.60561,0,0,0,grasp
22.74561,0,0,0,move right
23.83019,0,0,0,move right
24.19228,0,0,0,move up
24.70346,0,0,0,move up
27.33197,0,0,0,move left
28.47564,0,0,0,move left
29.14126,0,0,0,move right
29.41971,0,0,0,move up
29.65892,0,0,0,grasp
30.15611,0,0,0,move right
30.83424,0,0,0,left rotation
31.55845,0,0,0,move right
32.42041,0,0,0,move down
33.1226,0,0,0,move down
34.38127,0,0,0,left rotation
34.90881,0,0,0,left rotation
35.32174,0,0,0,move right
